variant,order_mode,rep,prompt_id,position,generation_ms,gen_tokens,ms_per_token,toks_per_sec,duration_s,energy_j,avg_power_w,energy_method,idle_power_w,active_energy_j,mean_power_w,mean_gpu_util_pct,mean_mem_util_pct,mean_sm_clock_mhz,max_temp_c,n_power_samples,energy_j_per_token,active_energy_j_per_token
pipeline,interleaved,0,4,0,3287.3215370000253,129,25.483112689922677,39.24167397318975,3.292669,221.314,67.214,counter,54.554,41.6861,66.48,27.3,6.9,1095.0,32,33,1.7156124031007751,0.3231480620155039
direct_no_grad,interleaved,0,4,1,3318.7559729994973,128,25.927781039058573,38.568668814873234,3.323412,221.172,66.55,counter,54.554,39.867,66.9,26.8,6.8,1095.0,32,33,1.72790625,0.3114609375
direct,interleaved,0,4,2,3057.792781999524,128,23.88900610937128,41.860259712006844,3.061246,210.442,68.744,counter,54.554,43.4392,67.69,28.8,6.9,1095.0,32,31,1.644078125,0.33936875
direct,interleaved,0,5,0,2998.068520999368,128,23.422410320307563,42.69415428748534,3.002862,204.908,68.238,counter,54.554,41.0902,68.0,29.8,7.0,1095.0,32,30,1.60084375,0.3210171875
pipeline,interleaved,0,5,1,3279.0453920006257,128,25.61754212500489,39.03575117083209,3.28234,215.052,65.518,counter,54.554,35.9876,66.9,27.3,7.0,1095.0,32,33,1.68009375,0.281153125
direct_no_grad,interleaved,0,5,2,3348.3497069992154,128,26.15898208593137,38.22778717899014,3.351565,227.351,67.834,counter,54.554,44.5101,66.33,26.6,6.5,1095.0,32,33,1.7761796875,0.34773515625
direct,interleaved,0,6,0,3061.7812300006335,128,23.92016585937995,41.80573018927728,3.065014,204.06,66.577,counter,54.554,36.8516,67.6,28.7,7.0,1095.0,32,31,1.59421875,0.287903125
pipeline,interleaved,0,6,1,3312.0774990002246,129,25.675019372094766,38.94836399176638,3.315415,221.342,66.761,counter,54.554,40.4733,66.78,27.3,7.0,1095.0,32,33,1.7158294573643411,0.313746511627907
direct_no_grad,interleaved,0,6,2,3324.28900999912,128,25.971007890618125,38.504474074001735,3.327583,221.249,66.489,counter,54.554,39.7164,66.64,26.9,6.9,1095.0,32,33,1.7285078125,0.310284375
direct_no_grad,interleaved,0,7,0,3335.102144999837,128,26.055485507811227,38.37963409663612,3.338259,220.992,66.2,counter,54.554,38.877,66.63,26.9,6.9,1095.0,32,33,1.7265,0.3037265625
pipeline,interleaved,0,7,1,3336.952042000121,129,25.867845286822643,38.65803235298499,3.340234,220.976,66.156,counter,54.554,38.7533,66.65,26.7,6.7,1095.0,32,33,1.7129922480620154,0.30041317829457365
direct,interleaved,0,7,2,2954.523190001055,128,23.08221242188324,43.32340339489916,2.957683,205.123,69.353,counter,54.554,43.7699,68.21,29.6,7.0,1095.0,32,29,1.6025234375,0.34195234375
direct_no_grad,interleaved,0,8,0,3327.6714740004536,128,25.997433390628544,38.46533559580063,3.330823,221.451,66.485,counter,54.554,39.7417,66.78,27.3,7.0,1095.0,32,34,1.7300859375,0.31048203125
direct,interleaved,0,8,1,3033.1166710002435,128,23.696223992189402,42.200816481546326,3.036352,204.554,67.368,counter,54.554,38.9092,67.72,29.0,6.9,1095.0,32,30,1.598078125,0.303978125
pipeline,interleaved,0,8,2,3349.981416000446,129,25.96884818604997,38.507676306459494,3.353265,220.989,65.903,counter,54.554,38.0554,66.6,27.0,6.6,1095.0,32,33,1.713093023255814,0.2950031007751938
direct,interleaved,0,9,0,2996.9138399992516,128,23.413389374994154,42.71060391914102,3.000233,204.975,68.32,counter,54.554,41.3006,67.52,29.5,7.0,1095.0,32,29,1.6013671875,0.3226609375
pipeline,interleaved,0,9,1,3302.396819999558,129,25.599975348833784,39.062537614730765,3.306006,221.725,67.067,counter,54.554,41.3695,66.7,27.1,6.8,1095.0,32,33,1.7187984496124031,0.32069379844961243
direct_no_grad,interleaved,0,9,2,3315.0279380006396,128,25.898655765629996,38.61204261138125,3.318225,221.269,66.683,counter,54.554,40.2469,66.91,26.8,6.8,1095.0,32,34,1.7286640625,0.31442890625
direct_no_grad,interleaved,0,10,0,3353.5135810016072,128,26.199324851575057,38.16892250717223,3.356852,227.424,67.749,counter,54.554,44.2947,66.5,26.4,6.4,1095.0,32,33,1.77675,0.34605234375
pipeline,interleaved,0,10,1,3278.6038590002136,128,25.61409264843917,39.041008156146276,3.282408,221.735,67.553,counter,54.554,42.6669,66.69,27.1,6.9,1095.0,32,33,1.7323046875,0.33333515625
direct,interleaved,0,10,2,2942.1362209996005,128,22.98543922655938,43.50580339767939,2.94663,199.028,67.544,counter,54.554,38.2779,68.27,29.9,7.1,1095.0,32,29,1.55490625,0.29904609375
direct,interleaved,0,11,0,3007.5801580005646,128,23.49671998437941,42.55913168581822,3.01078,205.228,68.164,counter,54.554,40.9782,68.19,29.6,7.1,1095.0,32,30,1.60334375,0.3201421875
pipeline,interleaved,0,11,1,3367.5132659991505,129,26.104753999993413,38.30719875775318,3.370868,221.124,65.599,counter,54.554,37.2301,66.71,26.5,6.5,1095.0,33,34,1.714139534883721,0.28860542635658915
direct_no_grad,interleaved,0,11,2,3316.075679000278,128,25.90684124218967,38.599842823427096,3.319281,221.397,66.7,counter,54.554,40.3173,66.47,26.9,6.9,1095.0,32,33,1.7296640625,0.31497890625
pipeline,interleaved,0,12,0,3332.2562829998787,129,25.831444054262626,38.71250859608769,3.3366,221.471,66.376,counter,54.554,39.4465,66.78,26.9,6.8,1095.0,32,33,1.716829457364341,0.30578682170542637
direct,interleaved,0,12,1,3041.2536519997957,128,23.759794156248404,42.087906714335645,3.04467,204.779,67.258,counter,54.554,38.6804,67.87,29.1,6.9,1095.0,32,30,1.5998359375,0.302190625
direct_no_grad,interleaved,0,12,2,3363.2019399992714,128,26.275015156244308,38.05896948311933,3.366463,227.77,67.659,counter,54.554,44.1164,66.83,26.8,6.7,1095.0,32,33,1.779453125,0.344659375
direct_no_grad,interleaved,0,13,0,3323.9722269991034,128,25.968533023430496,38.50814364822746,3.327185,221.457,66.56,counter,54.554,39.9461,66.86,26.9,6.9,1095.0,32,34,1.7301328125,0.31207890625
pipeline,interleaved,0,13,1,3320.5972220002877,129,25.741063736436338,38.84843339183786,3.324013,221.252,66.562,counter,54.554,39.9142,66.88,26.9,6.9,1095.0,32,33,1.7151317829457364,0.3094124031007752
direct,interleaved,0,13,2,3029.1881909997755,128,23.665532742185746,42.255545687227155,3.03358,204.621,67.452,counter,54.554,39.1274,68.18,29.2,7.0,1095.0,32,30,1.5986015625,0.3056828125
pipeline,interleaved,0,14,0,3332.6606000009633,129,25.83457829458111,38.7078120106088,3.335952,228.148,68.391,counter,54.554,46.1589,66.85,27.1,6.9,1095.0,33,33,1.7685891472868216,0.3578209302325582
direct_no_grad,interleaved,0,14,1,3336.3177299997915,128,26.06498226562337,38.365650504158666,3.339459,221.186,66.234,counter,54.554,39.0055,66.91,26.9,6.8,1095.0,32,33,1.728015625,0.30473046875
direct,interleaved,0,14,2,2979.358352999043,128,23.276237132805022,42.96227067521244,2.983812,205.483,68.866,counter,54.554,42.7045,68.18,29.6,6.9,1095.0,32,30,1.6053359375,0.33362890625
direct_no_grad,interleaved,0,15,0,3400.519617998725,128,26.56655951561504,37.64130614700897,3.403701,227.306,66.782,counter,54.554,41.6209,66.45,26.3,6.3,1095.0,32,34,1.775828125,0.32516328125
pipeline,interleaved,0,15,1,3307.631247000245,129,25.640552302327478,39.00071996145054,3.311006,221.721,66.965,counter,54.554,41.0928,66.61,26.9,6.9,1095.0,32,33,1.718767441860465,0.3185488372093023
direct,interleaved,0,15,2,2996.6585660004057,128,23.41139504687817,42.714242273800195,2.999911,198.454,66.153,counter,54.554,34.7972,67.9,29.5,6.9,1095.0,33,30,1.550421875,0.271853125
pipeline,interleaved,0,16,0,3314.0367380001408,129,25.690207271318922,38.925337948379294,3.317319,221.842,66.874,counter,54.554,40.8694,66.56,27.2,6.9,1095.0,33,33,1.7197054263565892,0.3168170542635659
direct,interleaved,0,16,1,3059.256149999783,128,23.900438671873303,41.84023622866921,3.063919,204.302,66.68,counter,54.554,37.1533,67.5,28.7,7.0,1095.0,32,30,1.596109375,0.29026015625
direct_no_grad,interleaved,0,16,2,3349.8815640014072,128,26.170949718760994,38.210306112167444,3.353058,221.438,66.041,counter,54.554,38.5157,66.98,27.3,6.8,1095.0,33,34,1.729984375,0.30090390625
pipeline,interleaved,0,17,0,3293.460527998832,129,25.530701767432806,39.1685277243577,3.296786,215.226,65.284,counter,54.554,35.3735,66.54,26.9,6.9,1095.0,32,33,1.6684186046511629,0.27421317829457365
direct_no_grad,interleaved,0,17,1,3329.049437001231,128,26.008198726572118,38.44941399107035,3.333311,227.838,68.352,counter,54.554,45.9929,66.58,26.9,6.8,1095.0,32,33,1.779984375,0.35931953125
direct,interleaved,0,17,2,3082.8382130002865,128,24.084673539064738,41.52018080618884,3.086057,204.222,66.176,counter,54.554,35.8656,67.6,28.6,6.9,1095.0,33,31,1.595484375,0.2802
direct,interleaved,0,18,0,2979.306285998973,128,23.275830359366978,42.963021493132956,2.982482,205.452,68.886,counter,54.554,42.7461,68.09,30.0,7.1,1095.0,33,30,1.60509375,0.33395390625
direct_no_grad,interleaved,0,18,1,3312.708579000173,128,25.88053577343885,38.63907643775668,3.315845,221.722,66.867,counter,54.554,40.8298,67.18,27.2,7.0,1095.0,33,33,1.732203125,0.3189828125
pipeline,interleaved,0,18,2,3314.7910549996595,129,25.69605468991984,38.916480061520275,3.318479,221.646,66.791,counter,54.554,40.6101,67.51,27.0,6.9,1095.0,32,33,1.7181860465116279,0.31480697674418606
direct_no_grad,interleaved,0,19,0,3360.3202819995204,128,26.252502203121253,38.09160712616211,3.36355,227.713,67.7,counter,54.554,44.2183,67.02,26.5,6.6,1095.0,32,34,1.7790078125,0.34545546875
direct,interleaved,0,19,1,2986.050437999438,128,23.32851904687061,42.865987248948166,2.98924,205.693,68.811,counter,54.554,42.6184,68.03,29.7,7.1,1095.0,32,30,1.6069765625,0.33295625
pipeline,interleaved,0,19,2,3339.2310990002443,129,25.88551239535073,38.6316478780466,3.342507,221.445,66.251,counter,54.554,39.0983,66.74,27.2,6.8,1095.0,32,33,1.716627906976744,0.3030875968992248
direct,interleaved,1,0,0,3000.1506300013716,128,23.438676796885716,42.66452448087298,3.003427,205.173,68.313,counter,54.554,41.3244,67.83,29.5,7.0,1095.0,32,30,1.6029140625,0.322846875
pipeline,interleaved,1,0,1,3349.8966670013033,129,25.968191217064366,38.50865051174124,3.354076,221.185,65.945,counter,54.554,38.2071,66.78,26.8,6.6,1095.0,32,33,1.7146124031007752,0.29617906976744185
direct_no_grad,interleaved,1,0,2,3317.947831999845,128,25.92146743749879,38.5780628512323,3.321164,221.164,66.592,counter,54.554,39.9816,67.02,26.9,6.8,1095.0,32,33,1.72784375,0.31235625
pipeline,interleaved,1,1,0,3299.9028569993243,128,25.78049107030722,38.78902063086586,3.303158,221.77,67.139,counter,54.554,41.5699,66.77,27.1,6.9,1095.0,32,33,1.732578125,0.32476484375
direct,interleaved,1,1,1,3001.3976539994474,128,23.448419171870682,42.64679817732128,3.004638,205.228,68.304,counter,54.554,41.3133,68.31,29.5,7.1,1095.0,32,30,1.60334375,0.32276015625
direct_no_grad,interleaved,1,1,2,3357.8969740010507,128,26.23357010938321,38.119096860641186,3.361198,227.966,67.823,counter,54.554,44.5996,66.83,26.8,6.8,1095.0,33,33,1.780984375,0.348434375
direct_no_grad,interleaved,1,2,0,3313.7912769998366,128,25.888994351561223,38.62645209081656,3.31709,221.616,66.81,counter,54.554,40.6559,66.83,27.0,6.9,1095.0,32,33,1.731375,0.31762421875
pipeline,interleaved,1,2,1,3292.6513599995815,129,25.524429147283577,39.17815337728814,3.298135,222.044,67.324,counter,54.554,42.1179,67.08,27.2,6.9,1095.0,33,33,1.7212713178294574,0.3264953488372093
direct,interleaved,1,2,2,3042.2007020006276,128,23.767192984379903,42.074804570199454,3.045643,204.618,67.184,counter,54.554,38.4664,67.63,29.1,7.1,1095.0,33,31,1.598578125,0.30051875
pipeline,interleaved,1,3,0,3355.766025999401,129,26.013690124026365,38.441297456541754,3.359536,228.214,67.93,counter,54.554,44.9383,67.25,26.6,6.6,1095.0,32,33,1.7691007751937984,0.34835891472868213
direct,interleaved,1,3,1,2967.4414500004787,128,23.18313632812874,43.1348022047678,2.97072,198.818,66.926,counter,54.554,36.7537,68.09,29.6,7.1,1095.0,33,30,1.553265625,0.28713828125
direct_no_grad,interleaved,1,3,2,3310.3858529993886,128,25.862389476557723,38.6661874729875,3.313533,221.804,66.939,counter,54.554,41.0379,67.19,27.4,6.9,1095.0,33,33,1.73284375,0.32060859375
direct,interleaved,1,4,0,3019.329523000124,128,23.58851189843847,42.39351784061456,3.022485,205.065,67.846,counter,54.554,40.1767,68.19,29.1,7.1,1095.0,33,30,1.6020703125,0.31388046875
pipeline,interleaved,1,4,1,3341.170895999312,129,25.900549581390017,38.609219347164625,3.347264,221.368,66.134,counter,54.554,38.7618,66.62,26.8,6.8,1095.0,32,34,1.7160310077519378,0.3004790697674419
direct_no_grad,interleaved,1,4,2,3310.1007500008564,128,25.86016210938169,38.66951783868418,3.31331,221.663,66.901,counter,54.554,40.9091,66.72,27.0,6.9,1095.0,33,33,1.7317421875,0.31960234375
direct,interleaved,1,5,0,3000.139649999255,128,23.43859101561918,42.66468062579413,3.004,205.075,68.267,counter,54.554,41.1951,67.97,29.5,7.0,1095.0,32,30,1.6021484375,0.32183671875
direct_no_grad,interleaved,1,5,1,3343.2189949999156,128,26.11889839843684,38.28645392103703,3.346429,221.367,66.15,counter,54.554,38.8063,66.72,27.0,6.6,1095.0,32,33,1.7294296875,0.30317421875
pipeline,interleaved,1,5,2,3302.8149170004326,128,25.80324153906588,38.75482072614825,3.306162,221.962,67.136,counter,54.554,41.598,67.24,26.9,6.9,1095.0,33,33,1.734078125,0.324984375
direct,interleaved,1,6,0,2968.5283490016445,128,23.191627726575348,43.11900879876997,2.971885,205.708,69.218,counter,54.554,43.5801,68.83,29.6,7.1,1095.0,33,30,1.60709375,0.34046953125
direct_no_grad,interleaved,1,6,1,3295.365555000899,128,25.745043398444523,38.84242821126565,3.299429,221.902,67.255,counter,54.554,41.9053,67.18,27.2,7.0,1095.0,33,33,1.733609375,0.32738515625
pipeline,interleaved,1,6,2,3336.267405000399,129,25.862538023258907,38.66596538594441,3.339612,221.437,66.306,counter,54.554,39.2482,66.8,26.7,6.7,1095.0,33,33,1.7165658914728683,0.3042496124031008
pipeline,interleaved,1,7,0,3313.12251899908,129,25.68312030231845,38.93607895882217,3.318157,221.473,66.746,counter,54.554,40.4547,66.99,26.9,6.8,1095.0,32,33,1.7168449612403103,0.3136023255813954
direct,interleaved,1,7,1,2986.0021989989036,128,23.328142179678935,42.86667975091032,2.989275,205.448,68.728,counter,54.554,42.3715,68.81,29.6,7.0,1095.0,32,29,1.6050625,0.33102734375
direct_no_grad,interleaved,1,7,2,3320.5459380005777,128,25.941765140629514,38.54787808690082,3.32369,221.699,66.703,counter,54.554,40.3788,66.91,27.2,6.9,1095.0,33,33,1.7320234375,0.315459375
direct,interleaved,1,8,0,3006.726917999913,128,23.49005404687432,42.571208989323885,3.009978,205.261,68.194,counter,54.554,41.055,68.43,29.4,7.0,1095.0,33,30,1.6036015625,0.3207421875
direct_no_grad,interleaved,1,8,1,3341.2049829985335,128,26.103163929676043,38.309532235022466,3.344469,221.45,66.214,counter,54.554,38.9962,67.35,27.1,6.8,1095.0,32,33,1.730078125,0.3046578125
pipeline,interleaved,1,8,2,3311.967675001142,129,25.674168023264667,38.949655509531965,3.316743,221.627,66.821,counter,54.554,40.6858,66.53,26.8,6.8,1095.0,33,33,1.7180387596899225,0.3153937984496124
pipeline,interleaved,1,9,0,3353.162383000381,129,25.993506844964195,38.471146119852364,3.356552,221.55,66.005,counter,54.554,38.437,66.79,26.6,6.7,1095.0,33,34,1.7174418604651163,0.2979612403100775
direct_no_grad,interleaved,1,9,1,3279.5746510000754,128,25.62167696093809,39.02945156652178,3.282725,221.874,67.588,counter,54.554,42.7886,67.16,27.0,6.8,1095.0,32,33,1.733390625,0.3342859375
direct,interleaved,1,9,2,2940.6038010001794,128,22.9734671953139,43.52847532757175,2.943864,199.254,67.685,counter,54.554,38.6548,68.1,29.9,7.2,1095.0,32,29,1.556671875,0.301990625
direct_no_grad,interleaved,1,10,0,3299.910745001398,128,25.780552695323422,38.788927910820135,3.303181,222.143,67.251,counter,54.554,41.9417,67.85,27.3,6.8,1095.0,32,33,1.7354921875,0.32766953125
direct,interleaved,1,10,1,2985.591195998495,128,23.324931218738243,42.87258087160588,2.9901,205.115,68.598,counter,54.554,41.9934,67.9,29.7,7.1,1095.0,32,30,1.6024609375,0.3280734375
pipeline,interleaved,1,10,2,3312.814029999572,128,25.881359609371657,38.637846507797036,3.316188,221.787,66.88,counter,54.554,40.8761,66.88,27.1,6.9,1095.0,32,33,1.7327109375,0.31934453125
pipeline,interleaved,1,11,0,3315.206784998736,129,25.699277403090978,38.91159989890319,3.318715,221.731,66.812,counter,54.554,40.6822,67.05,26.9,6.9,1095.0,32,34,1.71884496124031,0.31536589147286825
direct,interleaved,1,11,1,2977.9904800016084,128,23.265550625012565,42.98200442868134,2.981258,205.546,68.946,counter,54.554,42.9068,68.69,29.4,6.9,1095.0,33,29,1.605828125,0.335209375
direct_no_grad,interleaved,1,11,2,3278.557907000504,128,25.61373364844144,39.04155535172627,3.281756,222.62,67.836,counter,54.554,43.5875,67.04,27.5,7.0,1095.0,33,33,1.73921875,0.34052734375
direct,interleaved,1,12,0,2925.485095000113,128,22.85535230468838,43.75342749780616,2.928732,199.274,68.041,counter,54.554,39.5003,68.18,29.9,7.3,1095.0,33,29,1.556828125,0.30859609375
pipeline,interleaved,1,12,1,3247.990674999528,129,25.178222286818045,39.71686279549394,3.251248,215.695,66.342,counter,54.554,38.3268,67.03,27.6,7.0,1095.0,33,32,1.6720542635658915,0.297106976744186
direct_no_grad,interleaved,1,12,2,3282.8125190007995,128,25.646972804693746,38.99095646161353,3.28611,221.879,67.52,counter,54.554,42.609,66.98,27.1,6.9,1095.0,33,33,1.7334296875,0.3328828125
pipeline,interleaved,1,13,0,3312.8853019989037,129,25.681281410844214,38.93886695146522,3.316516,221.796,66.876,counter,54.554,40.8672,67.4,26.9,6.8,1095.0,33,33,1.7193488372093022,0.31679999999999997
direct,interleaved,1,13,1,2979.937534999408,128,23.280761992182875,42.95392050894967,2.983237,205.43,68.861,counter,54.554,42.6828,68.57,29.5,7.1,1095.0,33,30,1.604921875,0.333459375
direct_no_grad,interleaved,1,13,2,3319.175148000795,128,25.931055843756212,38.56379801984747,3.322306,221.689,66.727,counter,54.554,40.4443,66.81,27.1,6.8,1095.0,33,33,1.7319453125,0.31597109375
direct,interleaved,1,14,0,2978.726983999877,128,23.27130456249904,42.9713769296573,2.982038,205.529,68.922,counter,54.554,42.8473,68.47,29.7,7.2,1095.0,32,30,1.6056953125,0.33474453125
pipeline,interleaved,1,14,1,3282.006753001042,129,25.441912813961565,39.305220771420835,3.285438,222.082,67.596,counter,54.554,42.8486,67.11,27.2,6.9,1095.0,32,33,1.7215658914728682,0.3321596899224806
direct_no_grad,interleaved,1,14,2,3269.325088000187,128,25.54160225000146,39.151811629199685,3.274132,215.774,65.903,counter,54.554,37.1574,66.98,27.1,6.9,1095.0,32,32,1.685734375,0.2902921875
pipeline,interleaved,1,15,0,3276.259262000167,129,25.397358620156332,39.37417331290354,3.279601,222.256,67.769,counter,54.554,43.341,67.12,27.2,6.9,1095.0,33,32,1.7229147286821704,0.3359767441860465
direct,interleaved,1,15,1,2999.415341000713,128,23.43293235156807,42.67498343770376,3.002972,205.172,68.323,counter,54.554,41.3482,68.14,29.3,7.0,1095.0,33,30,1.60290625,0.3230328125
direct_no_grad,interleaved,1,15,2,3360.3323600000294,128,26.25259656250023,38.09147021397576,3.36362,221.289,65.789,counter,54.554,37.7905,67.08,26.9,6.6,1095.0,33,34,1.7288203125,0.29523828125
direct_no_grad,interleaved,1,16,0,3392.91918500021,128,26.50718113281414,37.72562593470439,3.396183,220.825,65.022,counter,54.554,35.55,66.31,26.2,6.4,1095.0,32,34,1.7251953125,0.277734375
pipeline,interleaved,1,16,1,3326.8108390002453,129,25.789231310079423,38.77587462675406,3.33009,228.17,68.518,counter,54.554,46.5006,66.42,26.6,6.7,1095.0,33,33,1.7687596899224804,0.36046976744186043
direct,interleaved,1,16,2,2990.9189850004623,128,23.36655457031611,42.79621101137255,2.994118,198.344,66.245,counter,54.554,35.0033,67.86,29.4,7.0,1095.0,32,30,1.5495625,0.27346328125
pipeline,interleaved,1,17,0,3344.181500000559,129,25.92388759690356,38.57446134427167,3.349388,221.484,66.127,counter,54.554,38.7619,66.64,27.0,6.8,1095.0,32,34,1.7169302325581397,0.3004798449612403
direct,interleaved,1,17,1,3013.075327000479,128,23.53965099219124,42.48151344009849,3.016622,205.043,67.971,counter,54.554,40.4746,67.98,29.3,6.9,1095.0,32,30,1.6018984375,0.3162078125
direct_no_grad,interleaved,1,17,2,3317.521377999583,128,25.91813576562174,38.583021905704236,3.320688,221.836,66.804,counter,54.554,40.6796,67.15,27.1,6.9,1095.0,33,33,1.73309375,0.317809375
direct_no_grad,interleaved,1,18,0,3312.3527749994537,128,25.877756054683232,38.643226943126884,3.315937,221.543,66.812,counter,54.554,40.6458,67.06,26.9,6.9,1095.0,32,33,1.7308046875,0.3175453125
pipeline,interleaved,1,18,1,3294.0886010001122,129,25.535570550388467,39.1610595904538,3.297355,221.646,67.219,counter,54.554,41.7625,67.02,27.0,6.9,1095.0,32,33,1.7181860465116279,0.3237403100775194
direct,interleaved,1,18,2,2979.3529489998036,128,23.276194914060966,42.96234860088355,2.982601,205.545,68.915,counter,54.554,42.8326,68.59,29.7,6.9,1095.0,33,30,1.6058203125,0.3346296875
direct_no_grad,interleaved,1,19,0,3302.3678790013946,128,25.799749054698395,38.7600669246777,3.306666,221.959,67.125,counter,54.554,41.5675,67.02,27.3,7.0,1095.0,33,33,1.7340546875,0.32474609375
pipeline,interleaved,1,19,1,3311.861898000643,129,25.67334804651661,38.950899516032585,3.315267,221.765,66.892,counter,54.554,40.9043,67.09,26.9,6.9,1095.0,33,33,1.7191085271317827,0.3170875968992248
direct,interleaved,1,19,2,3045.3265340001963,128,23.791613546876533,42.03161748696462,3.048599,204.819,67.185,counter,54.554,38.5061,68.03,28.7,6.9,1095.0,33,31,1.6001484375,0.30082890625
direct,interleaved,2,0,0,2996.489897999709,128,23.410077328122725,42.7166465955536,3.000285,198.321,66.101,counter,54.554,34.6438,67.86,29.7,7.1,1095.0,33,30,1.5493828125,0.2706546875
direct_no_grad,interleaved,2,0,1,3330.485074000535,128,26.01941464062918,38.43284000857211,3.333697,228.169,68.443,counter,54.554,46.3029,66.51,27.2,6.9,1095.0,33,33,1.7825703125,0.36174140625
pipeline,interleaved,2,0,2,3341.3555590013857,129,25.90198107753012,38.60708557414153,3.344901,221.55,66.235,counter,54.554,39.0727,66.78,26.7,6.7,1095.0,32,34,1.7174418604651163,0.3028891472868217
direct_no_grad,interleaved,2,1,0,3367.7719209990755,128,26.310718132805277,38.00732442772663,3.37102,228.081,67.659,counter,54.554,44.1788,66.92,26.3,6.5,1095.0,33,33,1.7818828125,0.345146875
direct,interleaved,2,1,1,2957.65389600092,128,23.10667106250719,43.27754514247605,2.960956,198.755,67.125,counter,54.554,37.2234,68.16,29.8,7.1,1095.0,33,29,1.5527734375,0.2908078125
pipeline,interleaved,2,1,2,3313.4349539996037,128,25.886210578121904,38.630605935237355,3.316802,221.888,66.898,counter,54.554,40.9436,67.17,27.1,6.8,1095.0,33,33,1.7335,0.319871875
direct_no_grad,interleaved,2,2,0,3353.5454960001516,128,26.199574187501184,38.168559261434936,3.356887,227.982,67.915,counter,54.554,44.8508,66.68,26.7,6.6,1095.0,33,34,1.781109375,0.350396875
pipeline,interleaved,2,2,1,3366.227696998976,129,26.094788348829272,38.32182835255165,3.369571,220.85,65.542,counter,54.554,37.0268,66.48,26.4,6.4,1095.0,32,34,1.712015503875969,0.2870294573643411
direct,interleaved,2,2,2,3002.2605060003116,128,23.455160203127434,42.63454145440726,3.005491,205.114,68.246,counter,54.554,41.1528,67.58,29.5,6.9,1095.0,32,30,1.602453125,0.32150625
direct,interleaved,2,3,0,3009.421527998711,128,23.51110568748993,42.53309109711892,3.012617,205.007,68.049,counter,54.554,40.6571,67.68,29.6,7.0,1095.0,32,30,1.6016171875,0.31763359375
direct_no_grad,interleaved,2,3,1,3364.571224001338,128,26.285712687510454,38.04348057396008,3.367803,221.19,65.678,counter,54.554,37.4633,66.69,27.1,6.7,1095.0,33,33,1.728046875,0.29268203125
pipeline,interleaved,2,3,2,3355.6357020006544,129,26.01267986047019,38.442790414671435,3.358993,227.864,67.837,counter,54.554,44.6179,67.0,26.4,6.5,1095.0,32,33,1.7663875968992249,0.3458751937984496
